top-left, top-middle, top-right,middle-left, middle-middle, middle-right,bottom-left, bottom-middle, bottom-right,class
X,X,X,X,O,O,X,O,O,positive
X,X,X,X,O,O,O,X,O,positive
X,X,X,X,O,O,O,O,X,positive
X,X,X,X,O,O,O,,,positive
X,X,X,X,O,O,,O,,positive
X,X,X,X,O,O,,,O,positive
X,X,X,X,O,,O,O,,positive
X,X,X,X,O,,O,,O,positive
X,X,X,X,O,,,O,O,positive
X,X,X,X,,O,O,O,,positive
X,X,X,X,,O,O,,O,positive
X,X,X,X,,O,,O,O,positive
X,X,X,O,X,O,X,O,O,positive
X,X,X,O,X,O,O,X,O,positive
X,X,X,O,X,O,O,O,X,positive
X,X,X,O,X,O,O,,,positive
X,X,X,O,X,O,,O,,positive
X,X,X,O,X,O,,,O,positive
X,X,X,O,X,,O,O,,positive
X,X,X,O,X,,O,,O,positive
X,X,X,O,X,,,O,O,positive
X,X,X,O,O,X,X,O,O,positive
X,X,X,O,O,X,O,X,O,positive
X,X,X,O,O,X,O,O,X,positive
X,X,X,O,O,X,O,,,positive
X,X,X,O,O,X,,O,,positive
X,X,X,O,O,X,,,O,positive
X,X,X,O,O,,X,O,,positive
X,X,X,O,O,,X,,O,positive
X,X,X,O,O,,O,X,,positive
X,X,X,O,O,,O,,X,positive
X,X,X,O,O,,,X,O,positive
X,X,X,O,O,,,O,X,positive
X,X,X,O,O,,,,,positive
X,X,X,O,,X,O,O,,positive
X,X,X,O,,X,O,,O,positive
X,X,X,O,,X,,O,O,positive
X,X,X,O,,O,X,O,,positive
X,X,X,O,,O,X,,O,positive
X,X,X,O,,O,O,X,,positive
X,X,X,O,,O,O,,X,positive
X,X,X,O,,O,,X,O,positive
X,X,X,O,,O,,O,X,positive
X,X,X,O,,O,,,,positive
X,X,X,O,,,X,O,O,positive
X,X,X,O,,,O,X,O,positive
X,X,X,O,,,O,O,X,positive
X,X,X,O,,,O,,,positive
X,X,X,O,,,,O,,positive
X,X,X,O,,,,,O,positive
X,X,X,,X,O,O,O,,positive
X,X,X,,X,O,O,,O,positive
X,X,X,,X,O,,O,O,positive
X,X,X,,O,X,O,O,,positive
X,X,X,,O,X,O,,O,positive
X,X,X,,O,X,,O,O,positive
X,X,X,,O,O,X,O,,positive
X,X,X,,O,O,X,,O,positive
X,X,X,,O,O,O,X,,positive
X,X,X,,O,O,O,,X,positive
X,X,X,,O,O,,X,O,positive
X,X,X,,O,O,,O,X,positive
X,X,X,,O,O,,,,positive
X,X,X,,O,,X,O,O,positive
X,X,X,,O,,O,X,O,positive
X,X,X,,O,,O,O,X,positive
X,X,X,,O,,O,,,positive
X,X,X,,O,,,O,,positive
X,X,X,,O,,,,O,positive
X,X,X,,,O,X,O,O,positive
X,X,X,,,O,O,X,O,positive
X,X,X,,,O,O,O,X,positive
X,X,X,,,O,O,,,positive
X,X,X,,,O,,O,,positive
X,X,X,,,O,,,O,positive
X,X,X,,,,O,O,,positive
X,X,X,,,,O,,O,positive
X,X,X,,,,,O,O,positive
X,X,O,X,X,O,O,O,X,positive
X,X,O,X,O,X,X,O,O,positive
X,X,O,X,O,O,X,O,X,positive
X,X,O,X,O,O,X,,,positive
X,X,O,X,O,,X,O,,positive
X,X,O,X,O,,X,,O,positive
X,X,O,X,,O,X,O,,positive
X,X,O,X,,,X,O,O,positive
X,X,O,O,X,X,O,X,O,positive
X,X,O,O,X,X,O,O,X,positive
X,X,O,O,X,O,X,O,X,positive
X,X,O,O,X,O,O,X,X,positive
X,X,O,O,X,O,,X,,positive
X,X,O,O,X,O,,,X,positive
X,X,O,O,X,,O,X,,positive
X,X,O,O,X,,O,,X,positive
X,X,O,O,X,,,X,O,positive
X,X,O,O,X,,,O,X,positive
X,X,O,,X,O,O,X,,positive
X,X,O,,X,O,O,,X,positive
X,X,O,,X,O,,O,X,positive
X,X,O,,X,,O,X,O,positive
X,X,O,,X,,O,O,X,positive
X,X,,X,O,O,X,O,,positive
X,X,,X,O,O,X,,O,positive
X,X,,X,O,,X,O,O,positive
X,X,,X,,O,X,O,O,positive
X,X,,O,X,O,O,X,,positive
X,X,,O,X,O,O,,X,positive
X,X,,O,X,O,,X,O,positive
X,X,,O,X,O,,O,X,positive
X,X,,O,X,,O,X,O,positive
X,X,,O,X,,O,O,X,positive
X,X,,,X,O,O,X,O,positive
X,X,,,X,O,O,O,X,positive
X,O,X,X,X,O,X,O,O,positive
X,O,X,X,X,O,O,O,X,positive
X,O,X,X,O,O,X,X,O,positive
X,O,X,X,O,O,X,,,positive
X,O,X,X,O,,X,,O,positive
X,O,X,X,,O,X,O,,positive
X,O,X,X,,O,X,,O,positive
X,O,X,X,,,X,O,O,positive
X,O,X,O,X,X,X,O,O,positive
X,O,X,O,X,X,O,O,X,positive
X,O,X,O,X,O,X,X,O,positive
X,O,X,O,X,O,X,O,X,positive
X,O,X,O,X,O,X,,,positive
X,O,X,O,X,O,O,X,X,positive
X,O,X,O,X,O,,,X,positive
X,O,X,O,X,,X,O,,positive
X,O,X,O,X,,X,,O,positive
X,O,X,O,X,,O,,X,positive
X,O,X,O,X,,,O,X,positive
X,O,X,O,O,X,O,X,X,positive
X,O,X,O,O,X,,,X,positive
X,O,X,O,,X,O,,X,positive
X,O,X,O,,X,,O,X,positive
X,O,X,,X,O,X,O,,positive
X,O,X,,X,O,X,,O,positive
X,O,X,,X,O,O,,X,positive
X,O,X,,X,O,,O,X,positive
X,O,X,,X,,X,O,O,positive
X,O,X,,X,,O,O,X,positive
X,O,X,,O,X,O,,X,positive
X,O,X,,,X,O,O,X,positive
X,O,O,X,X,X,X,O,O,positive
X,O,O,X,X,X,O,X,O,positive
X,O,O,X,X,X,O,O,X,positive
X,O,O,X,X,X,O,,,positive
X,O,O,X,X,X,,O,,positive
X,O,O,X,X,X,,,O,positive
X,O,O,X,X,O,X,O,X,positive
X,O,O,X,X,O,X,,,positive
X,O,O,X,X,O,O,X,X,positive
X,O,O,X,X,O,,,X,positive
X,O,O,X,X,,X,O,,positive
X,O,O,X,X,,X,,O,positive
X,O,O,X,X,,O,,X,positive
X,O,O,X,X,,,O,X,positive
X,O,O,X,O,X,X,X,O,positive
X,O,O,X,O,X,X,,,positive
X,O,O,X,O,O,X,X,X,positive
X,O,O,X,O,,X,X,,positive
X,O,O,X,O,,X,,X,positive
X,O,O,X,,X,X,O,,positive
X,O,O,X,,X,X,,O,positive
X,O,O,X,,O,X,X,,positive
X,O,O,X,,O,X,,X,positive
X,O,O,X,,,X,X,O,positive
X,O,O,X,,,X,O,X,positive
X,O,O,X,,,X,,,positive
X,O,O,O,X,X,X,O,X,positive
X,O,O,O,X,X,O,X,X,positive
X,O,O,O,X,X,,,X,positive
X,O,O,O,X,O,X,X,X,positive
X,O,O,O,X,,X,,X,positive
X,O,O,O,X,,,X,X,positive
X,O,O,O,O,X,X,X,X,positive
X,O,O,O,,,X,X,X,positive
X,O,O,,X,X,O,,X,positive
X,O,O,,X,X,,O,X,positive
X,O,O,,X,O,X,,X,positive
X,O,O,,X,O,,X,X,positive
X,O,O,,X,,X,O,X,positive
X,O,O,,X,,O,X,X,positive
X,O,O,,X,,,,X,positive
X,O,O,,O,,X,X,X,positive
X,O,O,,,O,X,X,X,positive
X,O,,X,X,X,O,O,,positive
X,O,,X,X,X,O,,O,positive
X,O,,X,X,X,,O,O,positive
X,O,,X,X,O,X,O,,positive
X,O,,X,X,O,X,,O,positive
X,O,,X,X,O,O,,X,positive
X,O,,X,X,O,,O,X,positive
X,O,,X,X,,X,O,O,positive
X,O,,X,X,,O,O,X,positive
X,O,,X,O,X,X,,O,positive
X,O,,X,O,O,X,X,,positive
X,O,,X,O,O,X,,X,positive
X,O,,X,O,,X,X,O,positive
X,O,,X,O,,X,,,positive
X,O,,X,,X,X,O,O,positive
X,O,,X,,O,X,X,O,positive
X,O,,X,,O,X,O,X,positive
X,O,,X,,O,X,,,positive
X,O,,X,,,X,O,,positive
X,O,,X,,,X,,O,positive
X,O,,O,X,X,O,,X,positive
X,O,,O,X,X,,O,X,positive
X,O,,O,X,O,X,,X,positive
X,O,,O,X,O,,X,X,positive
X,O,,O,X,,X,O,X,positive
X,O,,O,X,,O,X,X,positive
X,O,,O,X,,,,X,positive
X,O,,O,O,,X,X,X,positive
X,O,,O,,O,X,X,X,positive
X,O,,,X,X,O,O,X,positive
X,O,,,X,O,X,O,X,positive
X,O,,,X,O,O,X,X,positive
X,O,,,X,O,,,X,positive
X,O,,,X,,O,,X,positive
X,O,,,X,,,O,X,positive
X,O,,,O,O,X,X,X,positive
X,,X,X,O,O,X,O,,positive
X,,X,X,O,O,X,,O,positive
X,,X,X,O,,X,O,O,positive
X,,X,X,,O,X,O,O,positive
X,,X,O,X,O,X,O,,positive
X,,X,O,X,O,X,,O,positive
X,,X,O,X,O,O,,X,positive
X,,X,O,X,O,,O,X,positive
X,,X,O,X,,X,O,O,positive
X,,X,O,X,,O,O,X,positive
X,,X,O,O,X,O,,X,positive
X,,X,O,O,X,,O,X,positive
X,,X,O,,X,O,O,X,positive
X,,X,,X,O,X,O,O,positive
X,,X,,X,O,O,O,X,positive
X,,X,,O,X,O,O,X,positive
X,,O,X,X,X,O,O,,positive
X,,O,X,X,X,O,,O,positive
X,,O,X,X,X,,O,O,positive
X,,O,X,X,O,X,O,,positive
X,,O,X,X,O,O,,X,positive
X,,O,X,X,O,,O,X,positive
X,,O,X,X,,X,O,O,positive
X,,O,X,X,,O,O,X,positive
X,,O,X,O,X,X,O,,positive
X,,O,X,O,X,X,,O,positive
X,,O,X,O,O,X,X,,positive
X,,O,X,O,O,X,,X,positive
X,,O,X,O,,X,X,O,positive
X,,O,X,O,,X,O,X,positive
X,,O,X,O,,X,,,positive
X,,O,X,,X,X,O,O,positive
X,,O,X,,O,X,O,X,positive
X,,O,X,,O,X,,,positive
X,,O,X,,,X,O,,positive
X,,O,X,,,X,,O,positive
X,,O,O,X,X,O,,X,positive
X,,O,O,X,X,,O,X,positive
X,,O,O,X,O,X,,X,positive
X,,O,O,X,O,,X,X,positive
X,,O,O,X,,X,O,X,positive
X,,O,O,X,,O,X,X,positive
X,,O,O,X,,,,X,positive
X,,O,O,O,,X,X,X,positive
X,,O,O,,O,X,X,X,positive
X,,O,,X,X,O,O,X,positive
X,,O,,X,O,X,O,X,positive
X,,O,,X,O,O,X,X,positive
X,,O,,X,O,,,X,positive
X,,O,,X,,O,,X,positive
X,,O,,X,,,O,X,positive
X,,O,,O,O,X,X,X,positive
X,,,X,X,O,X,O,O,positive
X,,,X,X,O,O,O,X,positive
X,,,X,O,X,X,O,O,positive
X,,,X,O,O,X,X,O,positive
X,,,X,O,O,X,O,X,positive
X,,,X,O,O,X,,,positive
X,,,X,O,,X,O,,positive
X,,,X,O,,X,,O,positive
X,,,X,,O,X,O,,positive
X,,,X,,O,X,,O,positive
X,,,X,,,X,O,O,positive
X,,,O,X,X,O,O,X,positive
X,,,O,X,O,X,O,X,positive
X,,,O,X,O,O,X,X,positive
X,,,O,X,O,,,X,positive
X,,,O,X,,O,,X,positive
X,,,O,X,,,O,X,positive
X,,,,X,O,O,,X,positive
X,,,,X,O,,O,X,positive
X,,,,X,,O,O,X,positive
O,X,X,X,X,O,X,O,O,positive
O,X,X,X,X,O,O,X,O,positive
O,X,X,X,O,X,O,O,X,positive
O,X,X,O,X,X,X,O,O,positive
O,X,X,O,X,O,X,X,O,positive
O,X,X,O,X,O,X,O,X,positive
O,X,X,O,X,O,X,,,positive
O,X,X,O,X,O,,X,,positive
O,X,X,O,X,,X,O,,positive
O,X,X,O,X,,X,,O,positive
O,X,X,O,X,,,X,O,positive
O,X,X,O,O,X,X,O,X,positive
O,X,X,O,O,X,,,X,positive
O,X,X,O,,X,,O,X,positive
O,X,X,,X,O,X,O,,positive
O,X,X,,X,O,X,,O,positive
O,X,X,,X,O,O,X,,positive
O,X,X,,X,O,,X,O,positive
O,X,X,,X,,X,O,O,positive
O,X,X,,X,,O,X,O,positive
O,X,X,,O,X,O,,X,positive
O,X,X,,O,X,,O,X,positive
O,X,X,,,X,O,O,X,positive
O,X,O,X,X,X,X,O,O,positive
O,X,O,X,X,X,O,X,O,positive
O,X,O,X,X,X,O,O,X,positive
O,X,O,X,X,X,O,,,positive
O,X,O,X,X,X,,O,,positive
O,X,O,X,X,X,,,O,positive
O,X,O,X,X,O,O,X,X,positive
O,X,O,X,X,O,,X,,positive
O,X,O,X,X,,O,X,,positive
O,X,O,X,X,,,X,O,positive
O,X,O,X,O,O,X,X,X,positive
O,X,O,O,X,X,X,X,O,positive
O,X,O,O,X,X,,X,,positive
O,X,O,O,X,O,X,X,X,positive
O,X,O,O,X,,X,X,,positive
O,X,O,O,X,,,X,X,positive
O,X,O,O,O,X,X,X,X,positive
O,X,O,O,,,X,X,X,positive
O,X,O,,X,X,O,X,,positive
O,X,O,,X,X,,X,O,positive
O,X,O,,X,O,X,X,,positive
O,X,O,,X,O,,X,X,positive
O,X,O,,X,,X,X,O,positive
O,X,O,,X,,O,X,X,positive
O,X,O,,X,,,X,,positive
O,X,O,,O,,X,X,X,positive
O,X,O,,,O,X,X,X,positive
O,X,,X,X,X,O,O,,positive
O,X,,X,X,X,O,,O,positive
O,X,,X,X,X,,O,O,positive
O,X,,X,X,O,O,X,,positive
O,X,,X,X,O,,X,O,positive
O,X,,X,X,,O,X,O,positive
O,X,,O,X,X,,X,O,positive
O,X,,O,X,O,X,X,,positive
O,X,,O,X,O,,X,X,positive
O,X,,O,X,,X,X,O,positive
O,X,,O,X,,,X,,positive
O,X,,O,O,,X,X,X,positive
O,X,,O,,O,X,X,X,positive
O,X,,,X,X,O,X,O,positive
O,X,,,X,O,X,X,O,positive
O,X,,,X,O,O,X,X,positive
O,X,,,X,O,,X,,positive
O,X,,,X,,O,X,,positive
O,X,,,X,,,X,O,positive
O,X,,,O,O,X,X,X,positive
O,O,X,X,X,X,X,O,O,positive
O,O,X,X,X,X,O,X,O,positive
O,O,X,X,X,X,O,O,X,positive
O,O,X,X,X,X,O,,,positive
O,O,X,X,X,X,,O,,positive
O,O,X,X,X,X,,,O,positive
O,O,X,X,X,O,X,X,O,positive
O,O,X,X,X,O,X,O,X,positive
O,O,X,X,X,O,X,,,positive
O,O,X,X,X,,X,O,,positive
O,O,X,X,X,,X,,O,positive
O,O,X,X,O,X,O,X,X,positive
O,O,X,X,O,X,,,X,positive
O,O,X,X,O,O,X,X,X,positive
O,O,X,X,,X,O,,X,positive
O,O,X,X,,X,,O,X,positive
O,O,X,O,X,X,X,X,O,positive
O,O,X,O,X,X,X,O,X,positive
O,O,X,O,X,X,X,,,positive
O,O,X,O,X,X,,,X,positive
O,O,X,O,X,O,X,X,X,positive
O,O,X,O,X,,X,X,,positive
O,O,X,O,X,,X,,X,positive
O,O,X,O,O,X,X,X,X,positive
O,O,X,O,,X,X,,X,positive
O,O,X,O,,X,,X,X,positive
O,O,X,O,,,X,X,X,positive
O,O,X,,X,X,X,O,,positive
O,O,X,,X,X,X,,O,positive
O,O,X,,X,X,O,,X,positive
O,O,X,,X,X,,O,X,positive
O,O,X,,X,O,X,X,,positive
O,O,X,,X,O,X,,X,positive
O,O,X,,X,,X,X,O,positive
O,O,X,,X,,X,O,X,positive
O,O,X,,X,,X,,,positive
O,O,X,,O,X,X,,X,positive
O,O,X,,O,X,,X,X,positive
O,O,X,,O,,X,X,X,positive
O,O,X,,,X,X,O,X,positive
O,O,X,,,X,O,X,X,positive
O,O,X,,,X,,,X,positive
O,O,X,,,O,X,X,X,positive
O,O,,X,X,X,X,O,,positive
O,O,,X,X,X,X,,O,positive
O,O,,X,X,X,O,X,,positive
O,O,,X,X,X,O,,X,positive
O,O,,X,X,X,,X,O,positive
O,O,,X,X,X,,O,X,positive
O,O,,X,X,X,,,,positive
O,O,,X,O,,X,X,X,positive
O,O,,X,,O,X,X,X,positive
O,O,,O,X,,X,X,X,positive
O,O,,O,,X,X,X,X,positive
O,O,,,X,O,X,X,X,positive
O,O,,,O,X,X,X,X,positive
O,O,,,,,X,X,X,positive
O,,X,X,X,X,O,O,,positive
O,,X,X,X,X,O,,O,positive
O,,X,X,X,X,,O,O,positive
O,,X,X,X,O,X,O,,positive
O,,X,X,X,O,X,,O,positive
O,,X,X,X,,X,O,O,positive
O,,X,X,O,X,O,,X,positive
O,,X,X,O,X,,O,X,positive
O,,X,X,,X,O,O,X,positive
O,,X,O,X,X,X,O,,positive
O,,X,O,X,X,X,,O,positive
O,,X,O,X,X,,O,X,positive
O,,X,O,X,O,X,X,,positive
O,,X,O,X,O,X,,X,positive
O,,X,O,X,,X,X,O,positive
O,,X,O,X,,X,O,X,positive
O,,X,O,X,,X,,,positive
O,,X,O,O,X,X,,X,positive
O,,X,O,O,X,,X,X,positive
O,,X,O,O,,X,X,X,positive
O,,X,O,,X,X,O,X,positive
O,,X,O,,X,,,X,positive
O,,X,O,,O,X,X,X,positive
O,,X,,X,X,X,O,O,positive
O,,X,,X,X,O,O,X,positive
O,,X,,X,O,X,X,O,positive
O,,X,,X,O,X,O,X,positive
O,,X,,X,O,X,,,positive
O,,X,,X,,X,O,,positive
O,,X,,X,,X,,O,positive
O,,X,,O,X,X,O,X,positive
O,,X,,O,X,O,X,X,positive
O,,X,,O,X,,,X,positive
O,,X,,O,O,X,X,X,positive
O,,X,,,X,O,,X,positive
O,,X,,,X,,O,X,positive
O,,O,X,X,X,X,O,,positive
O,,O,X,X,X,X,,O,positive
O,,O,X,X,X,O,X,,positive
O,,O,X,X,X,O,,X,positive
O,,O,X,X,X,,X,O,positive
O,,O,X,X,X,,O,X,positive
O,,O,X,X,X,,,,positive
O,,O,X,O,,X,X,X,positive
O,,O,X,,O,X,X,X,positive
O,,O,O,X,,X,X,X,positive
O,,O,O,,X,X,X,X,positive
O,,O,,X,O,X,X,X,positive
O,,O,,O,X,X,X,X,positive
O,,O,,,,X,X,X,positive
O,,,X,X,X,X,O,O,positive
